Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad],DVL X [m/s],DVL Y [m/s],DVL Z [m/s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
242.61,0.6089620693969852,0.5733679302242326,-24.113066,0.938246,2.237447,0.262816,0.0123569311041198,-0.0900938959879471,1.2974952715849823,2.5099005998898285,-0.2935068920933778,0.0794611282286125,-0.0051899999999999,-0.0012059999999999,-0.098795,-1.8e-05,0.000262,-2.9999999999999853e-06
243.61,0.6089624182883027,0.5733680932379848,-24.335815,0.955176,2.288966,0.185489,0.0060039326268604,-0.057194439587854,1.2960290728402597,2.5546034235404664,-0.2973057258541274,0.0568243126018915,-0.0033009999999999,-0.0007859999999999,-0.098726,-9.5e-05,0.00014,1.4000000000000003e-05
244.61,0.6089628331530659,0.5733682475250906,-24.494455,0.967515,2.33416,0.132776,0.002129301687433,-0.0370882466048794,1.29730326791397,2.582700051601474,-0.297691571944108,0.0444623089052327,-0.0021129999999999,-0.0003499999999999,-0.098778,0.000106,9.4e-05,3.0000000000000124e-06
245.61,0.6089632719288398,0.573368400590466,-24.61195,0.979054,2.369418,0.099043,-0.0015009831567151,-0.0246964089157197,1.2979314991782254,2.607223616958862,-0.3046160903070949,0.0290515348298453,-0.0016599999999999,-0.0011819999999999,-0.098484,-2.3e-05,3.3e-05,-1.2e-05
246.62,0.6089637222237869,0.5733685576700986,-24.700516,0.99383,2.394741,0.073748,0.0060388392119003,-0.0181165176357009,1.2974602602801872,2.6265150472240024,-0.3022128034528729,0.0044679146200075,-0.0013469999999999,0.000206,-0.098088,-9.8e-05,2.5e-05,-2.3000000000000007e-05
247.62,0.6089641781037874,0.573368717716791,-24.766493,1.008947,2.41498,0.053678,-0.0025481807079117,-0.0148702052269915,1.2960290728402593,2.6473339519961154,-0.3012358034091378,-0.0068439885357042,-0.0010329999999999,9.1000000000006e-05,-0.098072,0.000109,1.6e-05,-1.5999999999999992e-05
248.62,0.6089646366017819,0.5733688791597469,-24.812565,1.021325,2.4358,0.034425,-0.0014660765716752,-0.0127758101245984,1.2938299754360387,2.6810664658594154,-0.3015459093847337,-0.0325003742660871,-0.0008989999999999,-0.0005639999999999,-0.097788,-0.000145,-8e-06,-3.0000000000000094e-06
249.62,0.608965098415902,0.573369042348032,-24.840572,1.029125,2.459018,0.018391,-0.0003316125578789,-0.0126885436619987,1.2922592314691213,2.698957773423634,-0.2948255499168617,-0.0366537329389098,-0.0011149999999999,0.001672,-0.097662,-3.4e-05,-1e-05,6.999999999999997e-06
250.63,0.6089655644188122,0.5733692058853829,-24.856871,1.031959,2.483758,0.013144,-0.0131597825600372,-0.014137166941154,1.2930970767765415,2.7263268954191773,-0.2988137247100022,-0.0326698999840203,-0.0011319999999999,0.000759,-0.097943,8e-05,-2.4492935982947065e-22,4.000000000000005e-06
251.63,0.6089660344359799,0.573369369073668,-24.871788,1.035345,2.507059,0.014015,-0.003979350694547,-0.0149225651045514,1.2932191800110109,2.732106582017225,-0.3045105351275195,-0.0286061388080637,-0.0014199999999999,0.000703,-0.098169,-0.000146,-8e-06,1.1999999999999992e-05
252.63,0.6089665082928718,0.5733695331346176,-24.890165,1.034877,2.510152,0.018722,-0.0065798912800186,-0.0148527519344716,1.2937776330117716,2.7074273293386826,-0.3004574909538288,-0.0193240443162601,-0.0012159999999999,0.001877,-0.097741,3.3e-05,1e-05,-5.999999999999998e-06
