ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s],DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
0.000468,-0.001159,-0.098013,2.50E-05,-1.10E-05,3.90E-05,1.48129976,0.232207861,-0.006673392
0.000249,-0.001358,-0.097852,3.50E-05,-1.50E-05,5.70E-05,1.489896826,0.240981123,-0.000581161
0.000213,-0.001433,-0.097837,-1.70E-05,-3.00E-06,6.10E-05,1.489937926,0.24098464,0.006567734
0.000248,-0.001275,-0.097926,-4.40E-05,8.00E-06,6.10E-05,1.500826813,0.237505547,0.009591608
0.000339,-0.001,-0.097966,-1.20E-05,2.10E-05,7.50E-05,1.492257005,0.227291917,-0.000586364
0.00049,-0.001198,-0.098213,4.10E-05,8.00E-06,9.10E-05,1.486538909,0.218554311,-0.013838519
0.000499,-0.001691,-0.098026,2.40E-05,-9.00E-06,0.000107,1.498033345,0.223025763,-0.017968131
0.000299,-0.001342,-0.097863,-1.90E-05,-2.30E-05,0.00011,1.493813895,0.217200362,-0.009780575
2.30E-05,-0.001428,-0.097779,-1.40E-05,-1.50E-05,0.000111,1.495351592,0.212888305,0.000427863
-4.10E-05,-0.001169,-0.09794,-2.40E-05,-2.00E-06,0.000121,1.488948549,0.204868229,-0.002609828
-0.000101,-0.00115,-0.097996,2.50E-05,6.00E-06,0.000132,1.493322719,0.20058688,-0.006710205
7.60E-05,-0.001471,-0.09794,4.90E-05,1.00E-06,0.000137,1.490380389,0.206331264,-0.003636634
-7.70E-05,-0.001667,-0.097818,-4.10E-05,-2.00E-06,0.000133,1.504934827,0.200729715,0.007544041
-5.20E-05,-0.001218,-0.098007,-1.00E-05,1.20E-05,0.000136,1.497202641,0.181135977,0.001450475
8.60E-05,-0.001155,-0.098104,4.10E-05,1.60E-05,0.000151,1.495853966,0.169561653,-0.009775385
0.000139,-0.001388,-0.09808,2.00E-05,4.00E-06,0.000165,1.496601904,0.165958704,-0.014884269
7.70E-05,-0.001622,-0.097871,1.80E-05,-1.20E-05,0.000163,1.49146721,0.173841931,-0.00975999
