Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:12.628,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.638,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.648,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.658,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.668,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.678,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.688,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.698,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.708,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.718,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.728,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.738,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.748,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.758,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.768,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.778,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.788,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.798,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.808,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.818,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.828,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.838,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.848,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
