Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
319.8,-0.0008429999999999,-0.0020829999999999,-0.097794,-0.000118,-1.0000000000000093e-06,0.000153,-0.0007829999999999,-0.0026449999999999,-0.097826,2.399999999999999e-05,-1.800000000000001e-05,0.00015,0.3862433435538063,-0.3362117691360397,-0.41424960506231195,0.30820550762753407,0.3800719122332857,-0.34370095767935227,-0.42736160300721016,0.2964112669054278,0.741341,-1.303121,-0.008276
320.8,-0.0007709999999999,-0.0014619999999999,-0.097975,1.499999999999999e-05,1.899999999999999e-05,0.000161,-0.0008429999999999,-0.0020829999999999,-0.097794,-0.000118,-1.0000000000000093e-06,0.000153,0.38950656430508535,-0.33826338498981934,-0.4118087565844933,0.31596119271041145,0.3862433435538063,-0.3362117691360397,-0.41424960506231195,0.30820550762753407,0.760033,-1.292713,0.001459
321.8,-0.0006809999999999,-0.0021179999999999,-0.097997,2.499999999999999e-05,7.99999999999999e-06,0.000166,-0.0007709999999999,-0.0014619999999999,-0.097975,1.499999999999999e-05,1.899999999999999e-05,0.000161,0.3850113703838102,-0.33848538442520326,-0.4168860528350583,0.3066107019739552,0.38950656430508535,-0.33826338498981934,-0.4118087565844933,0.31596119271041145,0.778816,-1.286853,0.004654
322.81,-0.0007339999999999,-0.0019749999999999,-0.098058,2.699999999999999e-05,-1.400000000000001e-05,0.000162,-0.0006809999999999,-0.0021179999999999,-0.097997,2.499999999999999e-05,7.99999999999999e-06,0.000166,0.37659269884921975,-0.34371393192260646,-0.42382784057578193,0.29647879019604423,0.3850113703838102,-0.33848538442520326,-0.4168860528350583,0.3066107019739552,0.799904,-1.274326,0.001477
323.81,-0.0009639999999999,-0.0026579999999999,-0.097728,-7.000000000000009e-06,-1.900000000000001e-05,0.000154,-0.0007339999999999,-0.0019749999999999,-0.098058,2.699999999999999e-05,-1.400000000000001e-05,0.000162,0.3797522990981239,-0.34057072548019757,-0.41928255217778126,0.3010404724005402,0.37659269884921975,-0.34371393192260646,-0.42382784057578193,0.29647879019604423,0.82011,-1.255707,-0.003798
324.81,-0.0009849999999999,-0.0018909999999999,-0.097766,-8.300000000000001e-05,1.599999999999999e-05,0.00015,-0.0009639999999999,-0.0026579999999999,-0.097728,-7.000000000000009e-06,-1.900000000000001e-05,0.000154,0.3980811575558387,-0.3261699198702931,-0.40107498804355357,0.3231760893825782,0.3797522990981239,-0.34057072548019757,-0.41928255217778126,0.3010404724005402,0.839087,-1.238727,-0.00072
325.81,-0.0007799999999999,-0.0016049999999999,-0.098125,5.299999999999999e-05,4.099999999999999e-05,0.000175,-0.0009849999999999,-0.0018909999999999,-0.097766,-8.300000000000001e-05,1.599999999999999e-05,0.00015,0.391550470723118,-0.3366332167760674,-0.40422431087139116,0.3239593766277943,0.3980811575558387,-0.3261699198702931,-0.40107498804355357,0.3231760893825782,0.856032,-1.233375,0.012971
326.82,-0.0006569999999999,-0.0019199999999999,-0.09811,7.899999999999998e-05,-1.0960588852368811e-20,0.000179,-0.0007799999999999,-0.0016049999999999,-0.098125,5.299999999999999e-05,4.099999999999999e-05,0.000175,0.3718158647602034,-0.34891707026049773,-0.4209732913779881,0.29975964364271307,0.391550470723118,-0.3366332167760674,-0.40422431087139116,0.3239593766277943,0.869705,-1.232294,0.01084
327.82,-0.0005869999999999,-0.0023989999999999,-0.097837,-2.100000000000001e-05,-2.300000000000001e-05,0.000152,-0.0006569999999999,-0.0019199999999999,-0.09811,7.899999999999998e-05,-1.0960588852368811e-20,0.000179,0.38063824209872127,-0.34005816045191933,-0.4163205068842525,0.3043758956663882,0.3718158647602034,-0.34891707026049773,-0.4209732913779881,0.29975964364271307,0.889816,-1.213235,-0.00588
328.82,-0.0008739999999999,-0.0021089999999999,-0.097854,-3.300000000000001e-05,7.99999999999999e-06,0.000153,-0.0005869999999999,-0.0023989999999999,-0.097837,-2.100000000000001e-05,-2.300000000000001e-05,0.000152,0.39187667121235864,-0.33239722652109355,-0.4044979274069554,0.3197759703264968,0.38063824209872127,-0.34005816045191933,-0.4163205068842525,0.3043758956663882,0.915453,-1.186416,-0.004174
