Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,DVL3_1,DVL3_2,DVL3_3,DVL3_4,V North,V East,V Down
340.85,0.002817,-0.0043839999999999,-0.101809,0.002892,6.599999999999982e-05,0.003009,0.32250566932639135,-0.6810754645685897,-0.37721733764185633,0.6263637962531247,0.5297547764134944,-0.5719876931836286,-0.37483542612588405,0.726907043471239,0.6210117773598458,-0.5676968775876189,-0.6769512206681566,0.5117574342793082,0.6469453981076674,-0.5305970123561318,-0.6701171805034783,0.5074252299603208,-0.173104,-2.352399,0.015002
341.85,-0.0012509999999999,-0.0071749999999999,-0.095664,-0.001126,4.399999999999984e-05,0.002568,0.2992666506069663,-0.639162485843602,-0.37610363468801944,0.562325501762549,0.32250566932639135,-0.6810754645685897,-0.37721733764185633,0.6263637962531247,0.5297547764134944,-0.5719876931836286,-0.37483542612588405,0.726907043471239,0.6210117773598458,-0.5676968775876189,-0.6769512206681566,0.5117574342793082,0.213508,-2.144446,-0.048194
342.86,-0.0009749999999999,-0.0021729999999999,-0.098609,0.0006609999999999,0.0001119999999999,0.001131,0.44355694536419055,-0.5182379806928883,-0.44029737431886534,0.5214975517382133,0.2992666506069663,-0.639162485843602,-0.37610363468801944,0.562325501762549,0.32250566932639135,-0.6810754645685897,-0.37721733764185633,0.6263637962531247,0.5297547764134944,-0.5719876931836286,-0.37483542612588405,0.726907043471239,0.693372,-1.866998,-0.055885
343.86,-0.0001149999999999,-0.0050269999999999,-0.098034,-0.001258,0.0001689999999999,0.0002509999999999,0.5443692342921718,-0.47207691397050366,-0.5017090350291216,0.5147371132335536,0.44355694536419055,-0.5182379806928883,-0.44029737431886534,0.5214975517382133,0.2992666506069663,-0.639162485843602,-0.37610363468801944,0.562325501762549,0.32250566932639135,-0.6810754645685897,-0.37721733764185633,0.6263637962531247,1.107072,-1.611277,0.00852
344.86,0.000866,0.002421,-0.098532,-8.2e-05,0.000113,6.300000000000001e-05,0.5819134562780501,-0.48357925891691905,-0.5592187805357148,0.5062739346592544,0.5443692342921718,-0.47207691397050366,-0.5017090350291216,0.5147371132335536,0.44355694536419055,-0.5182379806928883,-0.44029737431886534,0.5214975517382133,0.2992666506069663,-0.639162485843602,-0.37610363468801944,0.562325501762549,1.3882,-1.521234,0.028484
345.86,0.000697,0.001383,-0.098101,8.9e-05,5e-05,3.9000000000000006e-05,0.5608854824740225,-0.49271811736201293,-0.5937184565414592,0.45988514329457614,0.5819134562780501,-0.48357925891691905,-0.5592187805357148,0.5062739346592544,0.5443692342921718,-0.47207691397050366,-0.5017090350291216,0.5147371132335536,0.44355694536419055,-0.5182379806928883,-0.44029737431886534,0.5214975517382133,1.553047,-1.522809,0.007014
346.87,0.000444,0.000213,-0.098033,3.9e-05,-3e-05,-9.999999999999995e-07,0.5460260455514746,-0.4968551765046016,-0.6151954076925193,0.42768581436355685,0.5608854824740225,-0.49271811736201293,-0.5937184565414592,0.45988514329457614,0.5819134562780501,-0.48357925891691905,-0.5592187805357148,0.5062739346592544,0.5443692342921718,-0.47207691397050366,-0.5017090350291216,0.5147371132335536,1.625238,-1.499059,-0.027709
347.87,0.000451,0.000605,-0.097718,3.8e-05,-5.6e-05,-4.300000000000001e-05,0.552985866595133,-0.4784786152184085,-0.6162479055054005,0.4152165763081411,0.5460260455514746,-0.4968551765046016,-0.6151954076925193,0.42768581436355685,0.5608854824740225,-0.49271811736201293,-0.5937184565414592,0.45988514329457614,0.5819134562780501,-0.48357925891691905,-0.5592187805357148,0.5062739346592544,1.642354,-1.449767,-0.046812
348.87,-9.799999999999402e-05,0.000715,-0.097508,-0.000183,-3.6e-05,-4.700000000000001e-05,0.574526424106549,-0.4548113576794807,-0.5974474163053078,0.43189036548072185,0.552985866595133,-0.4784786152184085,-0.6162479055054005,0.4152165763081411,0.5460260455514746,-0.4968551765046016,-0.6151954076925193,0.42768581436355685,0.5608854824740225,-0.49271811736201293,-0.5937184565414592,0.45988514329457614,1.647171,-1.413088,-0.036002
349.87,-0.0002449999999999,0.001608,-0.097941,-1.6999999999999996e-05,-2.3e-05,-4.1e-05,0.5687669185497434,-0.4525216784498299,-0.5954097724809031,0.42587882451867015,0.574526424106549,-0.4548113576794807,-0.5974474163053078,0.43189036548072185,0.552985866595133,-0.4784786152184085,-0.6162479055054005,0.4152165763081411,0.5460260455514746,-0.4968551765046016,-0.6151954076925193,0.42768581436355685,1.641943,-1.395446,-0.014787
