Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
120.3,-0.0002599999999999,-0.0045269999999999,-0.097755,2.2999999999999997e-05,-2.000000000000006e-06,9.7e-05,4.600000000000599e-05,-0.0046369999999999,-0.097873,-1.6000000000000006e-05,9.999999999999994e-06,0.000103,0.469903721658546,-0.5268537686857099,-0.4690573340854301,0.5277001562588258,0.4736569358841296,-0.5276428086875151,-0.47095192389362134,0.5303478206780234,-1.983192,0.577513,0.003555
121.3,-0.0002419999999999,-0.0046189999999999,-0.098013,-3.000000000000006e-06,-1.0000000000000006e-05,9.6e-05,-0.0002599999999999,-0.0045269999999999,-0.097755,2.2999999999999997e-05,-2.000000000000006e-06,9.7e-05,0.462377648835322,-0.5403461262050427,-0.4808676498583591,0.5218561251820055,0.469903721658546,-0.5268537686857099,-0.4690573340854301,0.5277001562588258,-1.987738,0.558339,0.000839
122.31,-0.0002269999999999,-0.0043009999999999,-0.09783,5.999999999999994e-06,-6.0620016557793975e-21,9.9e-05,-0.0002419999999999,-0.0046189999999999,-0.098013,-3.000000000000006e-06,-1.0000000000000006e-05,9.6e-05,0.4634067978452459,-0.5368193061444878,-0.4818649342114231,0.5183611697783106,0.462377648835322,-0.5403461262050427,-0.4808676498583591,0.5218561251820055,-1.99614,0.535759,-0.000286
123.31,-0.0001889999999999,-0.0046959999999999,-0.098026,-3.7000000000000005e-05,-1.1000000000000006e-05,0.000109,-0.0002269999999999,-0.0043009999999999,-0.09783,5.999999999999994e-06,-6.0620016557793975e-21,9.9e-05,0.4697157446187857,-0.5361421010100094,-0.48055400992223846,0.5253038357065567,0.4634067978452459,-0.5368193061444878,-0.4818649342114231,0.5183611697783106,-2.006193,0.511716,-0.004319
124.31,-0.0007419999999999,-0.0045029999999999,-0.097673,-3.0000000000000008e-05,3.999999999999995e-06,8.8e-05,-0.0001889999999999,-0.0046959999999999,-0.098026,-3.7000000000000005e-05,-1.1000000000000006e-05,0.000109,0.4743555946026213,-0.5255399416354347,-0.47163292074869456,0.5282626154893614,0.4697157446187857,-0.5361421010100094,-0.48055400992223846,0.5253038357065567,-2.013951,0.49042,-0.001534
125.31,-0.0002489999999999,-0.0041919999999999,-0.097907,6.999999999999994e-06,1.0999999999999996e-05,9e-05,-0.0007419999999999,-0.0045029999999999,-0.097673,-3.0000000000000008e-05,3.999999999999995e-06,8.8e-05,0.4785723190615867,-0.5234626931661962,-0.46817967076156686,0.5338553414662162,0.4743555946026213,-0.5255399416354347,-0.47163292074869456,0.5282626154893614,-2.018983,0.473515,0.004847
126.32,-0.0002499999999999,-0.0042699999999999,-0.098033,-5.75583995599256e-21,7.999999999999995e-06,9.4e-05,-0.0002489999999999,-0.0041919999999999,-0.097907,6.999999999999994e-06,1.0999999999999996e-05,9e-05,0.47114003616055655,-0.5305565852107893,-0.4742166040798984,0.5274800172914474,0.4785723190615867,-0.5234626931661962,-0.46817967076156686,0.5338553414662162,-2.021785,0.452845,0.009647
127.32,-0.0004469999999999,-0.0041969999999999,-0.097733,-2.8000000000000006e-05,8.999999999999993e-06,9.9e-05,-0.0002499999999999,-0.0042699999999999,-0.098033,-5.75583995599256e-21,7.999999999999995e-06,9.4e-05,0.4734751163152778,-0.5246558518749914,-0.4745796060746673,0.5235513621156019,0.47114003616055655,-0.5305565852107893,-0.4742166040798984,0.5274800172914474,-2.025052,0.427857,0.007341
128.32,-7.999999999999402e-05,-0.0040759999999999,-0.097844,-9.000000000000007e-06,8.999999999999993e-06,0.000105,-0.0004469999999999,-0.0041969999999999,-0.097733,-2.8000000000000006e-05,8.999999999999993e-06,9.9e-05,0.4750811252617701,-0.5266236816702434,-0.47238462937841114,0.5293201775536022,0.4734751163152778,-0.5246558518749914,-0.4745796060746673,0.5235513621156019,-2.02821,0.402987,0.003301
129.32,-0.0001219999999999,-0.0046859999999999,-0.097843,1.5999999999999992e-05,8.999999999999993e-06,0.000103,-7.999999999999402e-05,-0.0040759999999999,-0.097844,-9.000000000000007e-06,8.999999999999993e-06,0.000105,0.4773370722199662,-0.5306458910469347,-0.47858392169183034,0.5293990415750706,0.4750811252617701,-0.5266236816702434,-0.47238462937841114,0.5293201775536022,-2.036558,0.383771,0.003401
130.33,-0.0002169999999999,-0.0041609999999999,-0.098047,1.7999999999999994e-05,7.999999999999995e-06,9.3e-05,-0.0001219999999999,-0.0046859999999999,-0.097843,1.5999999999999992e-05,8.999999999999993e-06,0.000103,0.4756561885674829,-0.5266761845566159,-0.4787509226869035,0.5235814504371953,0.4773370722199662,-0.5306458910469347,-0.47858392169183034,0.5293990415750706,-2.044252,0.365379,0.004692
131.33,-0.0002539999999999,-0.0035709999999999,-0.097687,-2.200000000000001e-05,8.999999999999995e-06,8.5e-05,-0.0002169999999999,-0.0041609999999999,-0.098047,1.7999999999999994e-05,7.999999999999995e-06,9.3e-05,0.48412218137337854,-0.5153568420814388,-0.4737045062217772,0.5257745172330401,0.4756561885674829,-0.5266761845566159,-0.4787509226869035,0.5235814504371953,-2.047378,0.342751,0.00399
132.33,-0.0001449999999999,-0.0041919999999999,-0.097779,2.8e-05,1.9e-05,7.8e-05,-0.0002539999999999,-0.0035709999999999,-0.097687,-2.200000000000001e-05,8.999999999999995e-06,8.5e-05,0.49358917330045615,-0.5101320329782513,-0.46782946059990715,0.5358917456788004,0.48412218137337854,-0.5153568420814388,-0.4737045062217772,0.5257745172330401,-2.049077,0.317507,0.004612
133.33,-9.999999999939958e-07,-0.0043599999999999,-0.098056,3.499999999999999e-05,2.8e-05,8e-05,-0.0001449999999999,-0.0041919999999999,-0.097779,2.8e-05,1.9e-05,7.8e-05,0.49329151208259747,-0.5036906098956199,-0.4693658830104031,0.5276162389678144,0.49358917330045615,-0.5101320329782513,-0.46782946059990715,0.5358917456788004,-2.052213,0.292922,0.007442
134.34,0.00044,-0.0045709999999999,-0.097897,3.0999999999999995e-05,1.3999999999999996e-05,7.7e-05,-9.999999999939958e-07,-0.0043599999999999,-0.098056,3.499999999999999e-05,2.8e-05,8e-05,0.49504602411553766,-0.5058061870733045,-0.47117681690082636,0.529675394288016,0.49329151208259747,-0.5036906098956199,-0.4693658830104031,0.5276162389678144,-2.054159,0.269815,0.006348
135.34,0.000392,-0.0047019999999999,-0.098106,1.0999999999999996e-05,6.999999999999994e-06,9e-05,0.00044,-0.0045709999999999,-0.097897,3.0999999999999995e-05,1.3999999999999996e-05,7.7e-05,0.48713704315485645,-0.5133011895834758,-0.482520251113809,0.5179179816245231,0.49504602411553766,-0.5058061870733045,-0.47117681690082636,0.529675394288016,-2.054221,0.247919,0.005916
136.34,0.000519,-0.0044499999999999,-0.097992,-3.300000000000001e-05,7.999999999999996e-06,5.6e-05,0.000392,-0.0047019999999999,-0.098106,1.0999999999999996e-05,6.999999999999994e-06,9e-05,0.46603171892536605,-0.5378908403693274,-0.5057469723460489,0.4981755869486446,0.48713704315485645,-0.5133011895834758,-0.482520251113809,0.5179179816245231,-2.057787,0.222255,0.000941
137.34,0.00041,-0.0041049999999999,-0.097834,-1.8000000000000004e-05,-1.9000000000000004e-05,5.8e-05,0.000519,-0.0044499999999999,-0.097992,-3.300000000000001e-05,7.999999999999996e-06,5.6e-05,0.46731953977778834,-0.5353237817085751,-0.4954552539963503,0.5071880674900132,0.46603171892536605,-0.5378908403693274,-0.5057469723460489,0.4981755869486446,-2.063099,0.207837,-0.012983
138.35,0.0001,-0.0033579999999999,-0.097795,-9.3e-05,-1.9000000000000008e-05,0.00011,0.00041,-0.0041049999999999,-0.097834,-1.8000000000000004e-05,-1.9000000000000004e-05,5.8e-05,0.48750349736998677,-0.518407617752268,-0.4733237532901756,0.5325873618320792,0.46731953977778834,-0.5353237817085751,-0.4954552539963503,0.5071880674900132,-2.066461,0.210638,-0.017447
139.35,-0.0002529999999999,-0.0033209999999999,-0.097743,0.0001069999999999,9.999999999999994e-06,0.000122,0.0001,-0.0033579999999999,-0.097795,-9.3e-05,-1.9000000000000008e-05,0.00011,0.5098743265510223,-0.4921052099210058,-0.45713869438145255,0.5448408420905756,0.48750349736998677,-0.518407617752268,-0.4733237532901756,0.5325873618320792,-2.067506,0.202776,-0.002687
140.35,0.000118,-0.0032679999999999,-0.097779,5.7e-05,3.5999999999999994e-05,0.000104,-0.0002529999999999,-0.0033209999999999,-0.097743,0.0001069999999999,9.999999999999994e-06,0.000122,0.5138890560880527,-0.48508515211128733,-0.4669023948627543,0.5320718133365857,0.5098743265510223,-0.4921052099210058,-0.45713869438145255,0.5448408420905756,-2.067985,0.163149,0.019004
